Fecha,Festivo,Zona_de_Carga
25/03/2016,Viernes Santo,SALVATIERRA
25/03/2016,Viernes Santo,IXIMIQUILPAN
25/03/2016,Viernes Santo,CIENEGA
25/03/2016,Viernes Santo,GUADALAJARA
25/03/2016,Viernes Santo,JIQUILPAN
25/03/2016,Viernes Santo,LOS ALTOS 
25/03/2016,Viernes Santo,ZAPOTLAN
25/03/2016,Viernes Santo,APATZINGAN
25/03/2016,Viernes Santo,MORELIA
25/03/2016,Viernes Santo,URUAPAN
25/03/2016,Viernes Santo,ZACAPU
25/03/2016,Viernes Santo,ZAMORA
25/03/2016,Viernes Santo,TEPIC VALLARTA 
25/03/2016,Viernes Santo,SAN JUAN DEL RIO
25/03/2016,Viernes Santo,MATEHUALA
25/03/2016,Viernes Santo,MINAS
25/03/2016,Viernes Santo,AGUASCALIENTES
25/03/2016,Viernes Santo,COLIMA 
25/03/2016,Viernes Santo,QUERETARO
25/03/2016,Viernes Santo,SAN LUIS POTOSI
25/03/2016,Viernes Santo,ZACATECAS
01/05/2016,Dia Del Trabajo,FRESNILLO
01/05/2016,Dia Del Trabajo,MANZANILLO
01/05/2016,Dia Del Trabajo,CELAYA
01/05/2016,Dia Del Trabajo,IRAPUATO
01/05/2016,Dia Del Trabajo,LEON
01/05/2016,Dia Del Trabajo,SALVATIERRA
01/05/2016,Dia Del Trabajo,IXIMIQUILPAN
01/05/2016,Dia Del Trabajo,CIENEGA
01/05/2016,Dia Del Trabajo,GUADALAJARA
01/05/2016,Dia Del Trabajo,JIQUILPAN
01/05/2016,Dia Del Trabajo,LOS ALTOS 
01/05/2016,Dia Del Trabajo,ZAPOTLAN
01/05/2016,Dia Del Trabajo,APATZINGAN
01/05/2016,Dia Del Trabajo,MORELIA
01/05/2016,Dia Del Trabajo,URUAPAN
01/05/2016,Dia Del Trabajo,ZACAPU
01/05/2016,Dia Del Trabajo,ZAMORA
01/05/2016,Dia Del Trabajo,TEPIC VALLARTA 
01/05/2016,Dia Del Trabajo,SAN JUAN DEL RIO
01/05/2016,Dia Del Trabajo,MATEHUALA
01/05/2016,Dia Del Trabajo,MINAS
01/05/2016,Dia Del Trabajo,AGUASCALIENTES
01/05/2016,Dia Del Trabajo,COLIMA 
01/05/2016,Dia Del Trabajo,QUERETARO
01/05/2016,Dia Del Trabajo,SAN LUIS POTOSI
01/05/2016,Dia Del Trabajo,ZACATECAS
10/05/2016,Dia De La Madre,FRESNILLO
10/05/2016,Dia De La Madre,MANZANILLO
10/05/2016,Dia De La Madre,CELAYA
10/05/2016,Dia De La Madre,IRAPUATO
10/05/2016,Dia De La Madre,LEON
10/05/2016,Dia De La Madre,SALVATIERRA
10/05/2016,Dia De La Madre,IXIMIQUILPAN
10/05/2016,Dia De La Madre,CIENEGA
10/05/2016,Dia De La Madre,GUADALAJARA
10/05/2016,Dia De La Madre,JIQUILPAN
10/05/2016,Dia De La Madre,LOS ALTOS 
10/05/2016,Dia De La Madre,ZAPOTLAN
10/05/2016,Dia De La Madre,APATZINGAN
10/05/2016,Dia De La Madre,MORELIA
10/05/2016,Dia De La Madre,URUAPAN
10/05/2016,Dia De La Madre,ZACAPU
10/05/2016,Dia De La Madre,ZAMORA
10/05/2016,Dia De La Madre,TEPIC VALLARTA 
10/05/2016,Dia De La Madre,SAN JUAN DEL RIO
10/05/2016,Dia De La Madre,MATEHUALA
10/05/2016,Dia De La Madre,MINAS
10/05/2016,Dia De La Madre,AGUASCALIENTES
10/05/2016,Dia De La Madre,COLIMA 
10/05/2016,Dia De La Madre,QUERETARO
